job_id,title,location,description
1,Junior Backend Developer,London,"We are looking for a Junior Backend Developer to join our engineering team. You will build and maintain RESTful APIs using Python and Django, write clean and testable code, and collaborate with frontend developers. Responsibilities include designing database schemas with PostgreSQL, writing unit and integration tests with pytest, and using Git for version control. You will work in an Agile environment with two-week sprints and participate in code reviews. Familiarity with Docker for local development and Linux command-line tools is expected. CI/CD pipelines using GitHub Actions or Jenkins are used daily. You will be mentored by senior engineers and expected to grow quickly."
2,Junior Data Engineer,London,"We are hiring a Junior Data Engineer to help build and maintain our data infrastructure. You will design and implement ETL pipelines using Python and Apache Airflow, work with large datasets stored in PostgreSQL and AWS S3, and support data modelling efforts using star schema and dimensional modelling principles. You will write SQL queries for data extraction and transformation, document data flows, and ensure data quality through automated testing. Experience with pandas and basic cloud services (AWS or GCP) is desirable. You will collaborate closely with data analysts and senior engineers in a fast-paced fintech environment."
3,Graduate Software Engineer,London,"We are seeking a Graduate Software Engineer to join our product team. You will contribute to the full software development lifecycle from requirements to deployment. Core technologies include Python, JavaScript, and REST APIs. You will work with Git, participate in Agile ceremonies, write automated tests, and contribute to code reviews. Strong problem-solving skills and a desire to learn are essential. You will be exposed to cloud infrastructure on AWS, containerisation with Docker, and microservices architecture. This is an excellent opportunity for a recent graduate looking to grow in a supportive engineering culture."
4,Security Analyst Intern,London,"We are looking for a Security Analyst Intern to support our cyber security operations team. Responsibilities include monitoring security alerts, analysing logs using SIEM tools, conducting vulnerability assessments, and assisting with incident response procedures. You will learn to apply OWASP principles, implement ICT security policies, and create incident reports. Familiarity with Linux, networking fundamentals, and security frameworks such as ISO 27001 or NIST is advantageous. You will shadow senior analysts and contribute to security awareness training."
5,Frontend Developer,London,We are hiring a Junior Frontend Developer to build responsive accessible web interfaces. You will work primarily with React TypeScript and CSS translating design mockups into functional components. Responsibilities include writing clean component-based code implementing REST API integrations writing unit tests with Jest and collaborating with UX designers. Experience with Git basic CI/CD and browser developer tools is expected. Familiarity with accessibility standards and performance optimisation techniques is a plus. You will work in a cross-functional team using Agile methodology.
6,Data Analyst,London,We are looking for a Graduate Data Analyst to join our business intelligence team. You will analyse large datasets to generate insights that inform strategic decisions. Responsibilities include writing complex SQL queries building dashboards in Tableau or Power BI performing statistical analysis using Python or R and presenting findings to stakeholders. You will clean and validate data identify trends and anomalies and collaborate with data engineers to improve data pipelines. Strong communication skills and the ability to translate data into business language are essential.
7,Machine Learning Engineer,London,We are seeking a Junior Machine Learning Engineer to join our AI team. You will develop and deploy machine learning models using Python scikit-learn and TensorFlow or PyTorch. Responsibilities include data preprocessing feature engineering model training and evaluation and writing production-ready inference code. You will use MLflow for experiment tracking Docker for containerisation and AWS SageMaker for deployment. Familiarity with NLP techniques transformers and vector embeddings is advantageous. A strong mathematical background in linear algebra and statistics is essential.
8,DevOps Engineer,London,We are hiring a Junior DevOps Engineer to support our infrastructure and deployment pipelines. You will manage CI/CD pipelines using Jenkins and GitHub Actions containerise applications with Docker and Kubernetes and monitor services using Prometheus and Grafana. Responsibilities include infrastructure as code using Terraform managing AWS cloud resources and supporting deployment automation. You will work closely with software engineers to improve build and release processes. Linux administration shell scripting and networking fundamentals are essential.
9,Full Stack Developer,London,We are looking for a Full Stack Developer to work across our web platform. You will build backend services with Python and Django or Flask and frontend interfaces with React and JavaScript. Responsibilities include designing RESTful APIs integrating third-party services writing automated tests and managing deployments with Docker and AWS. You will work with PostgreSQL databases implement authentication and authorisation and participate in code reviews. Agile methodology Git and strong communication skills are expected.
10,QA Engineer,London,We are seeking a Graduate QA Engineer to ensure the quality of our software products. You will design and execute manual and automated test plans write test cases in pytest and Selenium and report bugs clearly with reproducible steps. Responsibilities include regression testing API testing using Postman and performance testing. You will collaborate with developers and product managers to understand requirements and define acceptance criteria. Experience with CI/CD pipelines Git and Agile workflows is expected.
11,Cloud Engineer,London,We are hiring a Graduate Cloud Engineer to help manage and scale our cloud infrastructure on AWS. Responsibilities include provisioning cloud resources using Terraform managing containerised workloads with Kubernetes and Docker setting up monitoring and alerting and supporting disaster recovery planning. You will work with S3 EC2 RDS Lambda and CloudWatch. Scripting with Python or Bash is required for automation tasks. Understanding of networking concepts and IAM policies is essential.
12,Data Scientist,London,We are looking for a Junior Data Scientist to join our analytics team. You will build predictive models conduct statistical analysis and develop data-driven solutions to business problems. Responsibilities include exploratory data analysis using Python and pandas feature engineering model selection and evaluation and communicating findings to non-technical stakeholders. Experience with scikit-learn NLP and time series analysis is desirable. You will use Jupyter notebooks Git and SQL in your daily workflow.
13,iOS Developer,London,We are seeking a Junior iOS Developer to help build and maintain our mobile application. You will write Swift code implement UI components using SwiftUI and UIKit and integrate REST APIs. Responsibilities include writing unit tests debugging performance issues submitting builds to the App Store and participating in code reviews. Familiarity with Xcode Git and Agile development practices is expected. You will collaborate with Android developers backend engineers and designers.
14,Android Developer,London,We are hiring a Graduate Android Developer to build features for our mobile platform. You will develop using Kotlin and Jetpack Compose integrate RESTful APIs and write unit and UI tests. Responsibilities include implementing MVVM architecture managing app state and optimising for performance and battery life. Experience with Android Studio Git and publishing to the Google Play Store is expected. Familiarity with Coroutines Room database and Retrofit is advantageous.
15,Database Administrator,London,We are looking for a Graduate Database Administrator to manage and optimise our relational database systems. You will work with PostgreSQL and MySQL write complex SQL queries design and maintain database schemas and implement backup and recovery strategies. Responsibilities include performance tuning query optimisation index management and monitoring database health. Understanding of transactions stored procedures triggers and views is required.
16,Embedded Systems Engineer,London,We are seeking a Graduate Embedded Systems Engineer to develop firmware for IoT devices. You will write C and C++ code for microcontrollers implement communication protocols and debug hardware-software interactions. Responsibilities include RTOS development power management and over-the-air firmware updates. Experience with ARM Cortex-M processors Git and unit testing embedded code is expected. Familiarity with Python for scripting and test automation is a plus.
17,Cyber Security Analyst,London,We are hiring a Graduate Cyber Security Analyst to join our security operations centre. You will monitor security events investigate alerts perform threat hunting and respond to incidents. Responsibilities include vulnerability scanning penetration testing support writing security reports and maintaining security documentation. Experience with SIEM tools Linux networking protocols and security frameworks is expected. Familiarity with Python scripting for security automation is advantageous.
18,Network Engineer,London,We are looking for a Graduate Network Engineer to support and maintain our corporate network infrastructure. Responsibilities include configuring routers and switches managing VLANs VPNs and firewall rules and troubleshooting connectivity issues. You will monitor network performance assist with network capacity planning and document topology changes. Understanding of TCP/IP DNS DHCP BGP and OSPF is essential.
19,Blockchain Developer,London,We are seeking a Graduate Blockchain Developer to build decentralised applications. You will write smart contracts in Solidity deploy to Ethereum or compatible networks and develop backend services that interact with blockchain nodes using Web3.js or ethers.js. Responsibilities include designing token standards writing unit tests and auditing contracts for security vulnerabilities. Understanding of consensus mechanisms and cryptographic primitives is advantageous.
20,Game Developer,London,We are hiring a Graduate Game Developer to join our mobile games studio. You will develop games using Unity and C# implement gameplay mechanics design UI systems and optimise performance for iOS and Android. Responsibilities include integrating analytics SDKs implementing in-app purchases and working with artists and designers. Experience with Git Agile development and publishing to app stores is expected.
21,Robotics Engineer,London,We are looking for a Graduate Robotics Engineer to develop autonomous systems. You will work with ROS implement sensor fusion algorithms develop motion planning and control systems and test robots in simulation environments. Responsibilities include writing Python and C++ code for real-time control integrating cameras and LiDAR sensors and collaborating with mechanical engineers. Understanding of SLAM PID controllers and computer vision is advantageous.
22,Bioinformatics Engineer,London,We are seeking a Graduate Bioinformatics Engineer to support genomic data analysis pipelines. You will write Python and R scripts for processing sequencing data implement workflows using Nextflow or Snakemake and manage large datasets on cloud platforms. Responsibilities include quality control of sequencing runs variant calling and visualising results. Experience with Linux command line SQL databases and Git is essential.
23,AI Research Engineer,London,We are hiring a Graduate AI Research Engineer to support our applied research team. You will implement and evaluate state-of-the-art machine learning models run experiments using PyTorch and Hugging Face Transformers and analyse results using statistical methods. Responsibilities include dataset curation literature review writing technical reports and contributing to open-source projects. Experience with NLP computer vision or reinforcement learning is desirable.
24,Site Reliability Engineer,London,We are looking for a Graduate Site Reliability Engineer to ensure the reliability and performance of our production systems. You will define and monitor SLOs and SLIs build alerting and dashboards using Prometheus and Grafana manage incident response and conduct post-mortems. Responsibilities include automating toil with Python or Go managing Kubernetes clusters and improving deployment pipelines. Understanding of distributed systems load balancing and caching strategies is essential.
25,Product Data Analyst,London,We are seeking a Graduate Product Data Analyst to provide data-driven insights for our product team. You will analyse user behaviour using SQL and Python build dashboards in Looker or Metabase and design and interpret A/B experiments. Responsibilities include defining metrics creating cohort analyses and presenting recommendations to product managers and engineers. Experience with event tracking tools and statistical concepts is desirable.
26,Platform Engineer,London,We are hiring a Graduate Platform Engineer to build and maintain internal developer platforms. You will develop tooling and automation to improve developer productivity manage Kubernetes infrastructure implement GitOps workflows using ArgoCD or Flux and maintain CI/CD pipelines. Responsibilities include writing infrastructure as code with Terraform managing secrets with Vault and supporting service mesh implementations. Experience with Docker Linux Python scripting and observability tools is expected.
27,NLP Engineer,London,We are looking for a Graduate NLP Engineer to build natural language processing systems. You will fine-tune transformer models using Hugging Face implement text classification named entity recognition and information extraction pipelines. Responsibilities include data annotation model evaluation and deploying inference services using FastAPI and Docker. Experience with Python PyTorch and SQL is essential. Familiarity with vector databases semantic search and RAG architectures is advantageous.
28,Computer Vision Engineer,London,We are seeking a Graduate Computer Vision Engineer to develop visual AI systems. You will implement object detection segmentation and classification models using PyTorch and OpenCV. Responsibilities include curating and annotating datasets training and evaluating models optimising for inference speed and deploying to edge devices or cloud endpoints. Experience with YOLO ResNet and transformer-based vision models is desirable.
29,Quantitative Developer,London,We are hiring a Graduate Quantitative Developer to support our algorithmic trading team. You will implement quantitative models in Python backtest trading strategies using historical data and optimise execution algorithms. Responsibilities include data ingestion from market feeds statistical analysis and building risk management tools. Strong mathematical skills in probability statistics and linear algebra are essential. Experience with pandas NumPy and SQL is required.
30,Healthcare Data Analyst,London,We are looking for a Graduate Healthcare Data Analyst to support clinical research and operational reporting. You will analyse patient datasets using SQL and Python build reports for clinical teams and ensure data governance standards are met. Responsibilities include data cleaning statistical analysis and visualisation using Tableau or Power BI. Understanding of NHS data standards GDPR and healthcare terminologies is advantageous.
31,Graduate Software Developer,Manchester,We are seeking a Graduate Software Developer to join our growing engineering team in Manchester. You will write clean maintainable code in Python and JavaScript contribute to API development and participate in agile ceremonies. Responsibilities include writing unit tests reviewing code debugging production issues and contributing to technical documentation. You will work with PostgreSQL Git and Docker.
32,Junior Systems Analyst,London,We are hiring a Junior Systems Analyst to bridge business requirements and technical implementation. You will gather and document requirements produce functional specifications map data flows and support user acceptance testing. Responsibilities include analysing existing systems identifying inefficiencies and proposing improvements. Familiarity with SQL for data querying UML for process modelling and Agile methodology is expected.
